index,year,Greenland,North America,Norway,Svalbard,Iceland,Russian High Arctic Islands,Finland,Eurasia,North Atlantic,Gulf of Bothnia,Baffin Bay,Hudson Bay,Arctic Ocean,Northern Hemisphere,Global,Arctic
38,1988,-18.282932460308075,-9.969270924727121,1.6815515756607056,-11.58367196470499,1.3879204069574673,-12.885215197689831,1.8970217108726501,-6.508085499207179,-1.907437115907669,4.757673003400366,-7.690071870883306,-9.728354761997858,-13.574007560809454,5.190089635550976,5.154969294865926,-12.48597601056099
39,1989,-19.555481513341267,-10.761688930292925,2.8185372054576874,-9.26439601307114,1.5199924285213153,-12.3008534014225,3.8393489023049674,-6.600820740063985,-1.42953838656346,5.960571010907491,-9.950555426379045,-10.774215459823608,-13.313688360154629,5.140080129106839,4.997940123081207,-12.566055546204248
40,1990,-18.88060388962428,-11.340157005935907,3.032805393139521,-6.282821550965309,1.9069566925366719,-11.645569263647,2.704900378982226,-6.555730799833934,-0.6308085198203722,5.760582263271014,-10.080050533016523,-10.650638391574224,-11.356493333975473,5.663382766147454,5.3696253299713135,-11.318869719902674
41,1991,-18.86900516351064,-10.529648068050543,2.0809867729743323,-8.230940469851097,2.706148350611329,-11.904289891322454,2.2725196334843836,-6.505604445934296,-0.8017662987112999,5.260547449191411,-9.17814631263415,-10.152023235956827,-12.439712561666965,5.40785292784373,5.287517289320628,-11.862920135259628
42,1992,-19.998608708381653,-11.159339507420858,2.276031086842219,-7.959134002526601,1.8365061208605766,-12.710473464646688,2.5519371728102365,-7.520677596330643,-1.1562928793330987,5.625482915590207,-9.70565442337344,-10.929482772946358,-13.272312443703413,4.934864725917578,4.968605697154999,-12.691309082011381
43,1993,-19.645858267943066,-9.903041104475657,1.5279419335226219,-9.2603096490105,1.816578174630801,-12.004200341800848,1.7049461264784138,-6.859823117653529,-1.2870475525657337,4.684540838003159,-10.47522475818793,-10.497179528077444,-13.897867982586225,4.950790596505006,4.911221901575725,-12.790580650170645
44,1994,-19.065023720264435,-10.254277723530928,1.3672113716602325,-8.82063988596201,1.7701378626128037,-12.618857190012932,1.9207744995752971,-7.319255039095879,-1.3205876499414444,4.222715308268865,-8.756716638803482,-9.480301549037298,-13.946853499859571,5.087937946120898,4.913899838924408,-12.805542339881262
45,1995,-18.3268660902977,-9.87667919198672,1.6487835695346196,-9.174189885457357,1.4193875541289647,-10.39878317217032,2.4877227197090783,-5.4013567964235945,-1.2530553465088208,5.003161858767271,-8.35498728354772,-8.683610190947851,-12.449050570527712,5.627890467643738,5.222398241360982,-11.61824897925059
46,1996,-17.59757697582245,-10.34706712824603,1.181416779756546,-7.42724507364134,2.5599080125490823,-11.278590967257818,1.8761696070432663,-6.993129312992096,-0.8073528303454319,4.014219152430694,-7.895472357670466,-8.659253766139349,-12.892614489421248,5.26370828350385,5.154209852218628,-11.961387619376183
47,1997,-18.37878115971883,-10.06262676169475,2.3035952349503837,-8.76900640440484,2.4765747586886087,-12.205262967695793,2.0494102388620377,-6.789756000041962,-1.146343681961298,5.273355861660093,-8.447707585990429,-9.197843660910925,-12.842806233714024,5.419389713555574,5.150767246882121,-12.082184786597887
